time_stamp;pm2_5_atm
22/03/2021;12.20
22/03/2021;19.90
22/03/2021;15.10
22/03/2021;12.60
22/03/2021;11.50
22/03/2021;15.90
22/03/2021;11.40
22/03/2021;10.90
22/03/2021;10.90
22/03/2021;10.30
22/03/2021;11.10
22/03/2021;12.60
22/03/2021;12.40
23/03/2021;19.50
23/03/2021;13.20
23/03/2021;15.60
23/03/2021;20.00
23/03/2021;14.60
23/03/2021;14.20
23/03/2021;14.20
23/03/2021;13.60
23/03/2021;15.10
23/03/2021;14.80
23/03/2021;15.80
23/03/2021;23.30
23/03/2021;24.30
23/03/2021;21.90
23/03/2021;15.90
23/03/2021;15.30
23/03/2021;14.80
23/03/2021;13.30
23/03/2021;10.10
23/03/2021;9.90
23/03/2021;9.00
23/03/2021;7.90
23/03/2021;7.10
23/03/2021;6.50
24/03/2021;9.90
24/03/2021;5.80
24/03/2021;10.80
24/03/2021;6.50
24/03/2021;7.50
24/03/2021;8.60
24/03/2021;8.50
24/03/2021;7.40
24/03/2021;14.20
24/03/2021;9.30
24/03/2021;7.70
24/03/2021;8.10
24/03/2021;9.30
24/03/2021;16.40
24/03/2021;23.20
24/03/2021;12.60
24/03/2021;10.10
24/03/2021;10.40
24/03/2021;9.70
24/03/2021;8.00
24/03/2021;9.70
24/03/2021;9.90
24/03/2021;8.40
24/03/2021;25.70
25/03/2021;9.10
25/03/2021;6.60
25/03/2021;10.00
25/03/2021;12.40
25/03/2021;11.50
25/03/2021;10.20
25/03/2021;9.90
25/03/2021;9.80
25/03/2021;9.70
25/03/2021;10.00
25/03/2021;9.40
25/03/2021;10.10
25/03/2021;13.40
25/03/2021;9.40
25/03/2021;9.20
25/03/2021;10.20
25/03/2021;6.80
25/03/2021;5.80
25/03/2021;5.20
25/03/2021;4.50
25/03/2021;4.90
25/03/2021;5.40
25/03/2021;3.30
25/03/2021;5.40
26/03/2021;10.10
26/03/2021;7.70
26/03/2021;7.90
26/03/2021;18.90
26/03/2021;14.30
26/03/2021;9.30
26/03/2021;8.90
26/03/2021;9.40
26/03/2021;9.90
26/03/2021;10.40
26/03/2021;10.80
26/03/2021;12.40
26/03/2021;20.50
26/03/2021;9.90
26/03/2021;7.50
26/03/2021;7.10
26/03/2021;7.30
26/03/2021;6.40
26/03/2021;5.50
26/03/2021;5.70
26/03/2021;6.00
26/03/2021;6.20
26/03/2021;5.80
26/03/2021;9.70
27/03/2021;16.80
27/03/2021;11.10
27/03/2021;8.70
27/03/2021;7.90
27/03/2021;8.40
27/03/2021;6.00
27/03/2021;4.70
27/03/2021;4.50
27/03/2021;5.10
27/03/2021;4.80
27/03/2021;4.90
27/03/2021;12.70
27/03/2021;17.10
27/03/2021;6.10
27/03/2021;7.70
27/03/2021;5.70
27/03/2021;4.00
27/03/2021;4.90
27/03/2021;4.80
27/03/2021;5.10
27/03/2021;4.10
27/03/2021;3.80
27/03/2021;3.90
27/03/2021;5.20
28/03/2021;5.20
28/03/2021;7.40
28/03/2021;8.70
28/03/2021;8.80
28/03/2021;7.80
28/03/2021;7.50
28/03/2021;5.20
28/03/2021;5.60
28/03/2021;5.30
28/03/2021;4.80
28/03/2021;5.10
28/03/2021;8.40
28/03/2021;11.00
28/03/2021;5.60
28/03/2021;4.60
28/03/2021;4.20
28/03/2021;7.50
28/03/2021;6.00
28/03/2021;5.50
28/03/2021;3.40
28/03/2021;3.40
28/03/2021;2.20
28/03/2021;2.20
28/03/2021;3.60
29/03/2021;8.10
29/03/2021;26.40
29/03/2021;13.20
29/03/2021;8.90
29/03/2021;8.00
29/03/2021;7.20
29/03/2021;6.30
29/03/2021;4.80
29/03/2021;4.80
29/03/2021;6.60
29/03/2021;5.20
29/03/2021;8.30
29/03/2021;14.10
29/03/2021;9.20
29/03/2021;8.30
29/03/2021;9.00
29/03/2021;6.50
29/03/2021;6.90
29/03/2021;4.70
29/03/2021;4.90
29/03/2021;5.70
29/03/2021;5.80
29/03/2021;5.30
29/03/2021;9.00
30/03/2021;12.00
30/03/2021;10.50
30/03/2021;10.90
30/03/2021;11.60
30/03/2021;12.20
30/03/2021;13.00
30/03/2021;10.00
30/03/2021;9.50
30/03/2021;10.40
30/03/2021;9.40
30/03/2021;13.00
30/03/2021;13.00
30/03/2021;17.50
30/03/2021;10.80
30/03/2021;11.60
30/03/2021;9.10
30/03/2021;8.00
30/03/2021;6.80
30/03/2021;6.00
30/03/2021;6.00
30/03/2021;6.40
30/03/2021;8.30
30/03/2021;8.00
30/03/2021;9.30
31/03/2021;18.30
31/03/2021;13.30
31/03/2021;13.20
31/03/2021;17.00
31/03/2021;30.00
31/03/2021;13.80
